Iteration,Function,Color,Increment Count,Increment Percentage,Decrement Count,Decrement Percentage
0,1,1,30,30.0,70,70.0
1,0,0,30,30.0,70,70.0
2,0,0,30,30.0,70,70.0
3,1,1,30,30.0,70,70.0
4,1,1,30,30.0,70,70.0
5,1,1,30,30.0,70,70.0
6,0,0,30,30.0,70,70.0
7,0,0,30,30.0,70,70.0
8,1,1,30,30.0,70,70.0
9,1,1,30,30.0,70,70.0
10,0,0,30,30.0,70,70.0
11,1,1,30,30.0,70,70.0
12,0,0,30,30.0,70,70.0
13,1,1,30,30.0,70,70.0
14,0,0,30,30.0,70,70.0
15,1,1,30,30.0,70,70.0
16,0,0,30,30.0,70,70.0
17,0,0,30,30.0,70,70.0
18,1,1,30,30.0,70,70.0
19,1,1,30,30.0,70,70.0
20,0,0,30,30.0,70,70.0
21,1,1,30,30.0,70,70.0
22,1,1,30,30.0,70,70.0
23,1,1,30,30.0,70,70.0
24,1,1,30,30.0,70,70.0
25,1,1,30,30.0,70,70.0
26,0,0,30,30.0,70,70.0
27,1,1,30,30.0,70,70.0
28,1,1,30,30.0,70,70.0
29,0,0,30,30.0,70,70.0
30,1,1,30,30.0,70,70.0
31,1,1,30,30.0,70,70.0
32,1,1,30,30.0,70,70.0
33,1,1,30,30.0,70,70.0
34,1,1,30,30.0,70,70.0
35,1,1,30,30.0,70,70.0
36,1,1,30,30.0,70,70.0
37,0,0,30,30.0,70,70.0
38,1,1,30,30.0,70,70.0
39,1,1,30,30.0,70,70.0
40,1,1,30,30.0,70,70.0
41,1,1,30,30.0,70,70.0
42,1,1,30,30.0,70,70.0
43,1,1,30,30.0,70,70.0
44,1,1,30,30.0,70,70.0
45,0,0,30,30.0,70,70.0
46,1,1,30,30.0,70,70.0
47,1,1,30,30.0,70,70.0
48,1,1,30,30.0,70,70.0
49,1,1,30,30.0,70,70.0
50,1,1,30,30.0,70,70.0
51,1,1,30,30.0,70,70.0
52,0,0,30,30.0,70,70.0
53,1,1,30,30.0,70,70.0
54,1,1,30,30.0,70,70.0
55,1,1,30,30.0,70,70.0
56,0,0,30,30.0,70,70.0
57,1,1,30,30.0,70,70.0
58,0,0,30,30.0,70,70.0
59,0,0,30,30.0,70,70.0
60,1,1,30,30.0,70,70.0
61,0,0,30,30.0,70,70.0
62,0,0,30,30.0,70,70.0
63,1,1,30,30.0,70,70.0
64,1,1,30,30.0,70,70.0
65,1,1,30,30.0,70,70.0
66,0,0,30,30.0,70,70.0
67,1,1,30,30.0,70,70.0
68,1,1,30,30.0,70,70.0
69,1,1,30,30.0,70,70.0
70,1,1,30,30.0,70,70.0
71,0,0,30,30.0,70,70.0
72,1,1,30,30.0,70,70.0
73,1,1,30,30.0,70,70.0
74,0,0,30,30.0,70,70.0
75,1,1,30,30.0,70,70.0
76,1,1,30,30.0,70,70.0
77,0,0,30,30.0,70,70.0
78,1,1,30,30.0,70,70.0
79,1,1,30,30.0,70,70.0
80,1,1,30,30.0,70,70.0
81,0,0,30,30.0,70,70.0
82,0,0,30,30.0,70,70.0
83,1,1,30,30.0,70,70.0
84,1,1,30,30.0,70,70.0
85,1,1,30,30.0,70,70.0
86,1,1,30,30.0,70,70.0
87,1,1,30,30.0,70,70.0
88,0,0,30,30.0,70,70.0
89,0,0,30,30.0,70,70.0
90,0,0,30,30.0,70,70.0
91,1,1,30,30.0,70,70.0
92,1,1,30,30.0,70,70.0
93,1,1,30,30.0,70,70.0
94,1,1,30,30.0,70,70.0
95,0,0,30,30.0,70,70.0
96,1,1,30,30.0,70,70.0
97,1,1,30,30.0,70,70.0
98,1,1,30,30.0,70,70.0
99,1,1,30,30.0,70,70.0
