Iteration,Function,Color,Increment Count,Increment Percentage,Decrement Count,Decrement Percentage
0,1,1,15,15.0,85,85.0
1,0,0,15,15.0,85,85.0
2,1,1,15,15.0,85,85.0
3,0,0,15,15.0,85,85.0
4,0,0,15,15.0,85,85.0
5,0,0,15,15.0,85,85.0
6,1,1,15,15.0,85,85.0
7,0,0,15,15.0,85,85.0
8,1,1,15,15.0,85,85.0
9,1,1,15,15.0,85,85.0
10,1,1,15,15.0,85,85.0
11,1,1,15,15.0,85,85.0
12,1,1,15,15.0,85,85.0
13,1,1,15,15.0,85,85.0
14,0,0,15,15.0,85,85.0
15,1,1,15,15.0,85,85.0
16,1,1,15,15.0,85,85.0
17,1,1,15,15.0,85,85.0
18,1,1,15,15.0,85,85.0
19,1,1,15,15.0,85,85.0
20,1,1,15,15.0,85,85.0
21,1,1,15,15.0,85,85.0
22,0,0,15,15.0,85,85.0
23,0,0,15,15.0,85,85.0
24,1,1,15,15.0,85,85.0
25,1,1,15,15.0,85,85.0
26,1,1,15,15.0,85,85.0
27,1,1,15,15.0,85,85.0
28,1,1,15,15.0,85,85.0
29,1,1,15,15.0,85,85.0
30,1,1,15,15.0,85,85.0
31,1,1,15,15.0,85,85.0
32,1,1,15,15.0,85,85.0
33,0,0,15,15.0,85,85.0
34,1,1,15,15.0,85,85.0
35,1,1,15,15.0,85,85.0
36,1,1,15,15.0,85,85.0
37,1,1,15,15.0,85,85.0
38,1,1,15,15.0,85,85.0
39,1,1,15,15.0,85,85.0
40,1,1,15,15.0,85,85.0
41,1,1,15,15.0,85,85.0
42,1,1,15,15.0,85,85.0
43,1,1,15,15.0,85,85.0
44,1,1,15,15.0,85,85.0
45,1,1,15,15.0,85,85.0
46,1,1,15,15.0,85,85.0
47,1,1,15,15.0,85,85.0
48,1,1,15,15.0,85,85.0
49,1,1,15,15.0,85,85.0
50,1,1,15,15.0,85,85.0
51,1,1,15,15.0,85,85.0
52,1,1,15,15.0,85,85.0
53,1,1,15,15.0,85,85.0
54,0,0,15,15.0,85,85.0
55,1,1,15,15.0,85,85.0
56,1,1,15,15.0,85,85.0
57,1,1,15,15.0,85,85.0
58,1,1,15,15.0,85,85.0
59,1,1,15,15.0,85,85.0
60,1,1,15,15.0,85,85.0
61,1,1,15,15.0,85,85.0
62,1,1,15,15.0,85,85.0
63,1,1,15,15.0,85,85.0
64,1,1,15,15.0,85,85.0
65,1,1,15,15.0,85,85.0
66,1,1,15,15.0,85,85.0
67,1,1,15,15.0,85,85.0
68,1,1,15,15.0,85,85.0
69,1,1,15,15.0,85,85.0
70,1,1,15,15.0,85,85.0
71,1,1,15,15.0,85,85.0
72,1,1,15,15.0,85,85.0
73,1,1,15,15.0,85,85.0
74,1,1,15,15.0,85,85.0
75,1,1,15,15.0,85,85.0
76,0,0,15,15.0,85,85.0
77,1,1,15,15.0,85,85.0
78,1,1,15,15.0,85,85.0
79,1,1,15,15.0,85,85.0
80,1,1,15,15.0,85,85.0
81,0,0,15,15.0,85,85.0
82,1,1,15,15.0,85,85.0
83,0,0,15,15.0,85,85.0
84,1,1,15,15.0,85,85.0
85,1,1,15,15.0,85,85.0
86,1,1,15,15.0,85,85.0
87,1,1,15,15.0,85,85.0
88,1,1,15,15.0,85,85.0
89,1,1,15,15.0,85,85.0
90,1,1,15,15.0,85,85.0
91,1,1,15,15.0,85,85.0
92,1,1,15,15.0,85,85.0
93,1,1,15,15.0,85,85.0
94,1,1,15,15.0,85,85.0
95,0,0,15,15.0,85,85.0
96,1,1,15,15.0,85,85.0
97,1,1,15,15.0,85,85.0
98,1,1,15,15.0,85,85.0
99,0,0,15,15.0,85,85.0
